sku,forecast_date,forecast_quantity,confidence,model_version
TW001,2026-10-15,3218,0.92,v2.0-ml-randomforest
TW002,2026-10-15,3943,0.92,v2.0-ml-randomforest
TW003,2026-10-15,5165,0.92,v2.0-ml-randomforest
TW004,2026-10-15,3347,0.92,v2.0-ml-randomforest
TW005,2026-10-15,3624,0.92,v2.0-ml-randomforest
TW006,2026-10-15,2374,0.92,v2.0-ml-randomforest
TW007,2026-10-15,2691,0.92,v2.0-ml-randomforest
TW008,2026-10-15,4410,0.92,v2.0-ml-randomforest
TW009,2026-10-15,3884,0.92,v2.0-ml-randomforest
TW010,2026-10-15,1009,0.92,v2.0-ml-randomforest
TW011,2026-10-15,713,0.92,v2.0-ml-randomforest
TW012,2026-10-15,1062,0.92,v2.0-ml-randomforest
TW013,2026-10-15,2851,0.92,v2.0-ml-randomforest
TW014,2026-10-15,1568,0.92,v2.0-ml-randomforest
TW015,2026-10-15,2820,0.92,v2.0-ml-randomforest
TW016,2026-10-15,561,0.92,v2.0-ml-randomforest
TW017,2026-10-15,1516,0.92,v2.0-ml-randomforest
TW018,2026-10-15,2384,0.92,v2.0-ml-randomforest
TW019,2026-10-15,4390,0.92,v2.0-ml-randomforest
TW020,2026-10-15,2487,0.92,v2.0-ml-randomforest
TW021,2026-10-15,3384,0.92,v2.0-ml-randomforest
TW022,2026-10-15,1534,0.92,v2.0-ml-randomforest
TW023,2026-10-15,730,0.92,v2.0-ml-randomforest
TW024,2026-10-15,672,0.92,v2.0-ml-randomforest
TW025,2026-10-15,2529,0.92,v2.0-ml-randomforest
TW026,2026-10-15,3650,0.92,v2.0-ml-randomforest
TW027,2026-10-15,1676,0.92,v2.0-ml-randomforest
TW028,2026-10-15,1539,0.92,v2.0-ml-randomforest
TW029,2026-10-15,2692,0.92,v2.0-ml-randomforest
TW030,2026-10-15,1629,0.92,v2.0-ml-randomforest
TW031,2026-10-15,1468,0.92,v2.0-ml-randomforest
TW032,2026-10-15,2277,0.92,v2.0-ml-randomforest
TW033,2026-10-15,4060,0.92,v2.0-ml-randomforest
TW034,2026-10-15,652,0.92,v2.0-ml-randomforest
TW035,2026-10-15,1940,0.92,v2.0-ml-randomforest
TW036,2026-10-15,3692,0.92,v2.0-ml-randomforest
TW037,2026-10-15,2045,0.92,v2.0-ml-randomforest
TW038,2026-10-15,3715,0.92,v2.0-ml-randomforest
TW039,2026-10-15,2193,0.92,v2.0-ml-randomforest
TW040,2026-10-15,1102,0.92,v2.0-ml-randomforest
TW041,2026-10-15,3471,0.92,v2.0-ml-randomforest
TW042,2026-10-15,1462,0.92,v2.0-ml-randomforest
TW043,2026-10-15,3312,0.92,v2.0-ml-randomforest
TW044,2026-10-15,2682,0.92,v2.0-ml-randomforest
TW045,2026-10-15,2060,0.92,v2.0-ml-randomforest
TW046,2026-10-15,2778,0.92,v2.0-ml-randomforest
TW047,2026-10-15,2230,0.92,v2.0-ml-randomforest
TW048,2026-10-15,765,0.92,v2.0-ml-randomforest
TW049,2026-10-15,3172,0.92,v2.0-ml-randomforest
TW050,2026-10-15,1637,0.92,v2.0-ml-randomforest
TW051,2026-10-15,3532,0.92,v2.0-ml-randomforest
TW052,2026-10-15,1621,0.92,v2.0-ml-randomforest
TW053,2026-10-15,1643,0.92,v2.0-ml-randomforest
TW054,2026-10-15,3699,0.92,v2.0-ml-randomforest
TW055,2026-10-15,2545,0.92,v2.0-ml-randomforest
TW056,2026-10-15,1622,0.92,v2.0-ml-randomforest
TW057,2026-10-15,1029,0.92,v2.0-ml-randomforest
TW058,2026-10-15,3737,0.92,v2.0-ml-randomforest
TW059,2026-10-15,2745,0.92,v2.0-ml-randomforest
TW060,2026-10-15,4191,0.92,v2.0-ml-randomforest
TW061,2026-10-15,2655,0.92,v2.0-ml-randomforest
TW062,2026-10-15,1334,0.92,v2.0-ml-randomforest
TW063,2026-10-15,1022,0.92,v2.0-ml-randomforest
TW064,2026-10-15,2147,0.92,v2.0-ml-randomforest
TW065,2026-10-15,497,0.92,v2.0-ml-randomforest
TW066,2026-10-15,4961,0.92,v2.0-ml-randomforest
TW067,2026-10-15,2741,0.92,v2.0-ml-randomforest
TW068,2026-10-15,2682,0.92,v2.0-ml-randomforest
TW069,2026-10-15,3328,0.92,v2.0-ml-randomforest
TW070,2026-10-15,2966,0.92,v2.0-ml-randomforest
TW071,2026-10-15,3261,0.92,v2.0-ml-randomforest
TW072,2026-10-15,1752,0.92,v2.0-ml-randomforest
TW073,2026-10-15,3860,0.92,v2.0-ml-randomforest
TW074,2026-10-15,1227,0.92,v2.0-ml-randomforest
TW075,2026-10-15,2325,0.92,v2.0-ml-randomforest
TW076,2026-10-15,4155,0.92,v2.0-ml-randomforest
TW077,2026-10-15,1648,0.92,v2.0-ml-randomforest
TW078,2026-10-15,1031,0.92,v2.0-ml-randomforest
TW079,2026-10-15,2342,0.92,v2.0-ml-randomforest
TW080,2026-10-15,2371,0.92,v2.0-ml-randomforest
TW081,2026-10-15,657,0.92,v2.0-ml-randomforest
TW082,2026-10-15,591,0.92,v2.0-ml-randomforest
TW083,2026-10-15,4209,0.92,v2.0-ml-randomforest
TW084,2026-10-15,2396,0.92,v2.0-ml-randomforest
TW085,2026-10-15,3004,0.78,v2.0-ml-randomforest
TW086,2026-10-15,2509,0.78,v2.0-ml-randomforest
TW087,2026-10-15,2392,0.78,v2.0-ml-randomforest
TW088,2026-10-15,1966,0.78,v2.0-ml-randomforest
TW089,2026-10-15,2965,0.78,v2.0-ml-randomforest
TW090,2026-10-15,2490,0.78,v2.0-ml-randomforest
TW091,2026-10-15,3295,0.78,v2.0-ml-randomforest
TW092,2026-10-15,3077,0.78,v2.0-ml-randomforest
TW093,2026-10-15,2981,0.78,v2.0-ml-randomforest
TW094,2026-10-15,2527,0.78,v2.0-ml-randomforest
TW095,2026-10-15,2375,0.78,v2.0-ml-randomforest
TW096,2026-10-15,1987,0.78,v2.0-ml-randomforest
TW097,2026-10-15,2944,0.78,v2.0-ml-randomforest
TW098,2026-10-15,2475,0.78,v2.0-ml-randomforest
TW099,2026-10-15,3298,0.78,v2.0-ml-randomforest
TW100,2026-10-15,3056,0.78,v2.0-ml-randomforest
